feature,importance,exercise
right_heel_mean_y,0.013532727687298407,E2
mouth_left_var_x,0.013463735218318944,E2
right_knee_var_y,0.013016842959286946,E2
left_ankle_mean_x,0.01195721566612433,E2
left_eye_mean_x,0.011782258862544408,E2
left_ear_var_x,0.01161624660049853,E2
left_heel_mean_x,0.010862396955423403,E2
right_index_mean_y,0.010838194291741744,E2
left_index_var_x,0.010768143962706409,E2
left_eye_outer_mean_x,0.010605141480025115,E2
right_knee_var_x,0.010572666307137709,E2
right_pinky_mean_y,0.010368942093512475,E2
left_thumb_var_x,0.009752840602564823,E2
right_wrist_var_x,0.009658871369868718,E2
right_eye_outer_mean_y,0.009418238930626807,E2
left_eye_outer_var_y,0.009045706182825828,E2
mouth_left_var_y,0.008961651726278653,E2
right_eye_inner_mean_y,0.008364413371761519,E2
left_eye_var_y,0.008319544191838134,E2
mouth_right_mean_y,0.008149892459356725,E2
left_knee_var_x,0.007981610869726805,E2
right_heel_var_x,0.007384025317871773,E2
right_foot_index_mean_x,0.00685799690079264,E2
left_elbow_var_y,0.006741194457728285,E2
left_eye_outer_mean_y,0.006629662812096392,E2
right_eye_mean_y,0.006546062260553556,E2
left_eye_mean_y,0.006214126869611342,E2
nose_var_y,0.005983791604287438,E2
left_eye_inner_var_y,0.00579303312557063,E2
left_eye_inner_mean_y,0.0057033367220502285,E2
right_eye_outer_var_y,0.005690631471828109,E2
right_ankle_var_x,0.005263801233085355,E2
right_eye_inner_var_y,0.004979964091497407,E2
right_ankle_mean_y,0.004379300026703226,E2
right_eye_var_y,0.004161087087591789,E2
mouth_right_var_y,0.003720966130667941,E2
right_foot_index_mean_y,0.003620377288143878,E2
mouth_left_mean_x,0.003564561382212887,E2
nose_mean_y,0.0011224717251008126,E2
left_foot_index_mean_x,0.0005244355468362188,E2
exercise_E1,0.0,E2
exercise_E2,0.0,E2
exercise_E3,0.0,E2
exercise_E4,0.0,E2
exercise_E5,0.0,E2
left_knee_var_y,0.23132498371669938,E3
right_hip_mean_x,0.19192370566660763,E3
right_foot_index_mean_y,0.18298090828799335,E3
left_knee_mean_x,0.17193360343947733,E3
left_hip_mean_x,0.16778520674459085,E3
right_knee_mean_x,0.15591851492256645,E3
right_foot_index_var_x,0.12317153417661916,E3
right_ankle_mean_y,0.12220910505389626,E3
right_heel_mean_y,0.11971515499784156,E3
left_index_mean_x,0.10972828625380515,E3
left_shoulder_mean_x,0.10667558303377545,E3
left_knee_mean_y,0.08797511826781336,E3
right_knee_mean_y,0.0835571123202849,E3
left_ear_var_y,0.08339680121442107,E3
right_foot_index_mean_x,0.08048614615535393,E3
right_index_mean_x,0.07889099228041302,E3
nose_var_x,0.07862840667893185,E3
right_ear_var_x,0.07772498719111758,E3
left_ankle_var_x,0.07686228671776246,E3
left_thumb_mean_x,0.07564702448064146,E3
right_knee_var_y,0.07507075918566786,E3
left_shoulder_var_x,0.07473046257463134,E3
left_heel_mean_x,0.07129817584894843,E3
right_ear_var_y,0.07079258532153698,E3
mouth_right_var_x,0.0704521803438716,E3
left_pinky_mean_x,0.06973395643506936,E3
left_hip_var_x,0.06900271933372536,E3
right_hip_mean_y,0.06688537925961313,E3
right_pinky_mean_x,0.06606866612580704,E3
left_foot_index_mean_y,0.06527737098735656,E3
mouth_left_mean_x,0.06447333597677342,E3
left_ear_mean_x,0.06419509735115365,E3
left_heel_var_x,0.06334679097743141,E3
right_heel_mean_x,0.06261526578852855,E3
left_elbow_mean_x,0.062099998306504624,E3
left_foot_index_var_y,0.061365095457819485,E3
mouth_right_mean_x,0.05959431944688524,E3
right_shoulder_var_y,0.0587900763382461,E3
nose_mean_x,0.05771839787007625,E3
right_thumb_mean_x,0.057525972839487065,E3
right_pinky_var_x,0.05643885599135869,E3
left_ankle_mean_x,0.05191233143980793,E3
left_shoulder_mean_y,0.051841147730562066,E3
left_elbow_var_x,0.05028446774011495,E3
right_wrist_var_x,0.049181928834520126,E3
mouth_left_var_x,0.04899541921544005,E3
left_wrist_var_x,0.04848129578096793,E3
left_wrist_mean_x,0.04837151275740349,E3
left_eye_outer_mean_x,0.04788952264529237,E3
right_wrist_mean_x,0.04691074543142306,E3
right_eye_outer_mean_x,0.04626097458231011,E3
right_hip_var_x,0.04623043080690862,E3
right_elbow_var_x,0.04621473591204739,E3
left_shoulder_var_y,0.045363464767840644,E3
left_eye_mean_x,0.045359770226285685,E3
right_eye_mean_x,0.04513925480138149,E3
left_hip_var_y,0.044651783734957096,E3
right_shoulder_var_x,0.043483987176082414,E3
left_eye_inner_mean_x,0.04324019827426011,E3
left_eye_inner_var_x,0.042509479420701976,E3
right_elbow_mean_x,0.04189203251219978,E3
right_eye_inner_mean_x,0.041616329637074144,E3
left_hip_mean_y,0.040415894649841716,E3
left_eye_var_x,0.03992435289720126,E3
right_foot_index_var_y,0.039615877763227204,E3
